line_num,state_key,patch_file,mapping_status,recommendation
177,trade_state,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
270,initialized,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
280,trade_state,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
399,phase,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
620,phase0_done,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
628,phase1_done,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
659,phase,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
666,phase0_done,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
667,phase,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
676,phase1_done,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
677,phase,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
688,phase,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
694,phase,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
810,buy_pe_leg_ready,patch_migrate_014.diff,MIGRATED,REVIEW_AND_APPLY
811,phase1_done,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
819,sell_ce_strike,patch_migrate_016.diff,MIGRATED,REVIEW_AND_APPLY
820,sell_ce_ref_premium,patch_migrate_017.diff,MIGRATED,REVIEW_AND_APPLY
821,sell_pe_strike,patch_migrate_018.diff,MIGRATED,REVIEW_AND_APPLY
822,sell_pe_ref_premium,patch_migrate_019.diff,MIGRATED,REVIEW_AND_APPLY
823,buy_ce_strike,patch_migrate_020.diff,MIGRATED,REVIEW_AND_APPLY
824,buy_ce_ref_premium,patch_migrate_021.diff,MIGRATED,REVIEW_AND_APPLY
825,buy_pe_strike,patch_migrate_022.diff,MIGRATED,REVIEW_AND_APPLY
826,buy_pe_ref_premium,patch_migrate_023.diff,MIGRATED,REVIEW_AND_APPLY
839,_phase1_attempt_count,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
844,phase1_done,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
857,atm_strike,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
877,expiry,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
892,buy_ce_leg_ready,patch_migrate_028.diff,MIGRATED,REVIEW_AND_APPLY
896,buy_pe_leg_ready,patch_migrate_029.diff,MIGRATED,REVIEW_AND_APPLY
965,_phase1_buy_ce_attempts,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
966,_phase1_buy_pe_attempts,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
973,buy_ce_leg_ready,patch_migrate_032.diff,MIGRATED,REVIEW_AND_APPLY
988,buy_pe_leg_ready,patch_migrate_033.diff,MIGRATED,REVIEW_AND_APPLY
1006,buy_ce_leg_ready,patch_migrate_034.diff,MIGRATED,REVIEW_AND_APPLY
1006,buy_pe_leg_ready,patch_migrate_035.diff,MIGRATED,REVIEW_AND_APPLY
1018,sell_ce_strike,patch_migrate_036.diff,MIGRATED,REVIEW_AND_APPLY
1019,sell_ce_ref_premium,patch_migrate_037.diff,MIGRATED,REVIEW_AND_APPLY
1020,sell_pe_strike,patch_migrate_038.diff,MIGRATED,REVIEW_AND_APPLY
1021,sell_pe_ref_premium,patch_migrate_039.diff,MIGRATED,REVIEW_AND_APPLY
1022,buy_ce_strike,patch_migrate_040.diff,MIGRATED,REVIEW_AND_APPLY
1023,buy_ce_ref_premium,patch_migrate_041.diff,MIGRATED,REVIEW_AND_APPLY
1024,buy_pe_strike,patch_migrate_042.diff,MIGRATED,REVIEW_AND_APPLY
1025,buy_pe_ref_premium,patch_migrate_043.diff,MIGRATED,REVIEW_AND_APPLY
1042,_phase1_buy_ce_final_status,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
1043,_phase1_buy_pe_final_status,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
1046,buy_ce_leg_ready,patch_migrate_046.diff,MIGRATED,REVIEW_AND_APPLY
1047,buy_pe_leg_ready,patch_migrate_047.diff,MIGRATED,REVIEW_AND_APPLY
1057,buy_ce_leg_ready,patch_migrate_048.diff,MIGRATED,REVIEW_AND_APPLY
1058,buy_pe_leg_ready,patch_migrate_049.diff,MIGRATED,REVIEW_AND_APPLY
1117,trade_state,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
1133,hard_exit_no_new_entries,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
1139,hard_exit_blocked,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
1154,sell_ce_leg_ready,patch_migrate_053.diff,MIGRATED,REVIEW_AND_APPLY
1154,sell_pe_leg_ready,patch_migrate_054.diff,MIGRATED,REVIEW_AND_APPLY
1155,sell_ce_entered,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
1155,sell_pe_entered,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
1163,sell_ce_leg_ready,patch_migrate_057.diff,MIGRATED,REVIEW_AND_APPLY
1163,sell_ce_entered,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
1167,sell_pe_leg_ready,patch_migrate_059.diff,MIGRATED,REVIEW_AND_APPLY
1167,sell_pe_entered,(NO_PATCH),NO_AUTO_PATCH,KEEP_AS_IS
