2026-02-14 15:25:57,387 [TRADE] BUY 50 @ ₹100.50 | TEST_ORDER_1
2026-02-14 15:25:57,430 [TRADE] SELL 50 @ ₹95.50 | TEST_ENGINE_ORDER
2026-02-14 15:28:09,391 [TRADE] BUY 50 @ ₹100.50 | TEST_ORDER_1
2026-02-14 15:28:09,407 [TRADE] SELL 50 @ ₹95.50 | TEST_ENGINE_ORDER
2026-02-14 15:30:51,445 [TRADE] BUY 50 @ ₹100.50 | TEST_ORDER_1
2026-02-14 15:30:51,464 [TRADE] SELL 50 @ ₹95.50 | TEST_ENGINE_ORDER
2026-02-14 15:35:08,175 [TRADE] BUY 50 @ 100.50 | TEST_ORDER_1
2026-02-14 15:35:08,212 [TRADE] SELL 50 @ 95.50 | TEST_ENGINE_ORDER
2026-02-14 15:36:17,529 [TRADE] BUY 50 @ 100.50 | TEST_ORDER_1
2026-02-14 15:36:17,546 [TRADE] SELL 50 @ 95.50 | TEST_ENGINE_ORDER
2026-02-14 15:36:53,466 [TRADE] BUY 50 @ 100.50 | TEST_ORDER_1
2026-02-14 15:36:53,483 [TRADE] SELL 50 @ 95.50 | TEST_ENGINE_ORDER
